INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch GCC as the compiler.
   Compiling ../../../test/main.cpp in debug mode
   Compiling ../../../src/rnn.cpp in debug mode
   Generating csim.exe
test in main function !!


Sample 0: Predict 5, Label 5
Sample 215: Predict 5, Label 5
Sample 216: Predict 9, Label 9
Sample 217: Predict 7, Label 7
Sample 218: Predict 5, Label 5
Sample 219: Predict 4, Label 4
Sample 220: Predict 9, Label 9
Sample 221: Predict 2, Label 2
Sample 222: Predict 7, Label 7
Sample 223: Predict 5, Label 5
Sample 224: Predict 8, Label 8
Sample 225: Predict 9, Label 9
Sample 226: Predict 6, Label 6
Sample 227: Predict 0, Label 0
Sample 228: Predict 5, Label 5
Sample 229: Predict 1, Label 1
Sample 230: Predict 4, Label 4
Sample 231: Predict 4, Label 4
Sample 232: Predict 3, Label 3
Sample 233: Predict 7, Label 7
Sample 234: Predict 4, Label 4
Sample 235: Predict 5, Label 5
Sample 236: Predict 8, Label 4
Sample 237: Predict 4, Label 4
Sample 238: Predict 5, Label 5
Sample 239: Predict 7, Label 7
Sample 240: Predict 5, Label 5
Sample 241: Predict 8, Label 8
Sample 242: Predict 5, Label 5
Sample 243: Predict 9, Label 9
Sample 244: Predict 6, Label 6
Sample 245: Predict 5, Label 5
Sample 246: Predict 9, Label 9
Sample 247: Predict 0, Label 0
Sample 248: Predict 9, Label 9
Sample 249: Predict 7, Label 6
Sample 250: Predict 5, Label 5
Sample 251: Predict 2, Label 2
Sample 252: Predict 9, Label 9
Sample 253: Predict 9, Label 9
Sample 254: Predict 5, Label 5
Sample 255: Predict 6, Label 6
Sample 256: Predict 8, Label 8
Sample 257: Predict 6, Label 6
Sample 258: Predict 8, Label 8
Sample 259: Predict 4, Label 4
Sample 260: Predict 5, Label 5
Sample 261: Predict 6, Label 6
Sample 262: Predict 8, Label 8
Sample 263: Predict 5, Label 5
Sample 264: Predict 0, Label 0
Sample 265: Predict 3, Label 3
Sample 266: Predict 1, Label 1
Sample 267: Predict 2, Label 2
Sample 268: Predict 4, Label 4
Sample 269: Predict 4, Label 4
Sample 270: Predict 1, Label 1
Sample 271: Predict 0, Label 0
Sample 272: Predict 9, Label 9
Sample 273: Predict 4, Label 4
Sample 274: Predict 8, Label 8
Sample 275: Predict 4, Label 4
Sample 276: Predict 5, Label 5
Sample 277: Predict 9, Label 9
Sample 278: Predict 7, Label 7
Sample 279: Predict 5, Label 5
Sample 280: Predict 5, Label 5
Sample 281: Predict 7, Label 7
Sample 282: Predict 4, Label 4
Sample 283: Predict 7, Label 7
Sample 284: Predict 7, Label 0
Sample 285: Predict 8, Label 8
Sample 286: Predict 6, Label 6
Sample 287: Predict 2, Label 2
Sample 288: Predict 5, Label 5
Sample 289: Predict 0, Label 0
Sample 290: Predict 2, Label 2
Sample 291: Predict 0, Label 2
Sample 292: Predict 5, Label 5
Sample 293: Predict 3, Label 3
Sample 294: Predict 9, Label 9
Sample 295: Predict 5, Label 5
Sample 296: Predict 8, Label 8
Sample 297: Predict 5, Label 5
Sample 298: Predict 6, Label 6
Sample 299: Predict 7, Label 7
Accuracy: 0.966667
INFO: [SIM 1] CSim done with 0 errors.
INFO: [SIM 3] *************** CSIM finish ***************
